10,3,RHC,10.0,37.0
10,3,SA,16.0,137.0
10,3,GA,16.0,68.0
10,3,MIMIC,10.0,274.0
20,6,RHC,20.0,25.0
20,6,SA,20.0,118.0
20,6,GA,30.0,88.0
20,6,MIMIC,33.0,405.0
30,10,RHC,30.0,21.0
30,10,SA,30.0,119.0
30,10,GA,30.0,46.0
30,10,MIMIC,30.0,662.0
40,13,RHC,40.0,31.0
40,13,SA,40.0,122.0
40,13,GA,40.0,52.0
40,13,MIMIC,40.0,937.0
50,16,RHC,50.0,36.0
50,16,SA,50.0,130.0
50,16,GA,83.0,57.0
50,16,MIMIC,45.0,1373.0
60,20,RHC,60.0,36.0
60,20,SA,60.0,130.0
60,20,GA,49.0,66.0
60,20,MIMIC,43.0,1816.0
70,23,RHC,70.0,41.0
70,23,SA,70.0,136.0
70,23,GA,44.0,75.0
70,23,MIMIC,65.0,2270.0
80,26,RHC,80.0,51.0
80,26,SA,80.0,145.0
80,26,GA,51.0,79.0
80,26,MIMIC,60.0,2808.0
90,30,RHC,90.0,50.0
90,30,SA,90.0,152.0
90,30,GA,70.0,80.0
90,30,MIMIC,84.0,3413.0
100,33,RHC,100.0,63.0
100,33,SA,100.0,157.0
100,33,GA,43.0,91.0
100,33,MIMIC,95.0,4062.0
